energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2,n5_l2_m-2,n5_l2_m+2,n5_l4_m-4,n5_l4_m-2,n5_l4_m+2,n5_l4_m+4
1.599999999999999756e-01,7.544619117458349709e-05,8.938280391382434111e-08,4.209864893709160276e-06,2.321181281357508756e-07,1.459085721836918519e-05,5.630215273116905169e-05,3.516799488281587180e-15,1.633394493535938809e-14,3.277078313506348183e-14,5.627667080091393362e-11,3.541652306079954771e-15,1.171225618442525313e-14,9.536794176973556572e-15,1.805298670807659906e-14,9.188938553710261010e-10,4.141694857265172154e-21,2.395398563520969128e-11,3.715295410165010925e-33,8.324185151246046988e-24,9.456356340046222892e-10,1.987054367551081986e-08
1.649999999999999800e-01,6.463387658305493847e-05,7.424212565756606409e-08,7.041835629760187966e-06,1.412283912914110327e-07,1.187699750690666069e-05,4.548136009368958775e-05,2.793243368243127276e-15,1.692331672341558593e-14,3.098051384470114389e-14,3.420334064602181370e-11,1.035103080051959541e-15,6.652698515510368235e-15,5.642429274486332230e-15,1.242271899239146676e-14,1.537001852905659813e-09,2.503251467827592804e-21,1.460286088481003687e-11,1.086632866013021451e-33,2.489953339257586441e-24,5.753564038235260143e-10,1.605159484125413117e-08
1.699999999999999845e-01,2.768846166596562207e-05,5.314132681257820515e-08,1.000969723162495941e-05,7.326049211248758365e-08,8.893916115015188781e-06,8.652884039673602954e-06,3.603643886540616565e-15,1.762055164972951383e-14,2.582003714843809830e-14,1.777043232813313112e-11,1.833859967347930041e-16,6.607570548163076741e-15,4.014616271534592049e-15,1.076069918293917588e-14,2.184753960282076229e-09,1.288736370486848170e-21,7.573390184063226529e-12,1.933751850632876845e-34,4.816176488689847213e-25,2.984588985446391798e-10,3.053835434952298464e-09
1.749999999999999889e-01,3.239279607844322150e-05,3.945159727767744641e-08,1.274489589242757934e-05,3.153287970025057441e-08,5.995701366967450665e-06,1.357350270464793044e-05,5.292979403311369457e-15,1.729579884008974254e-14,2.120557129868815993e-14,7.632196427948140455e-12,1.165688870633082591e-15,9.126106154108575545e-15,3.978213227692147013e-15,1.122990583104516758e-14,2.781758533911609715e-09,5.586016742006275825e-22,3.259994008637207923e-12,1.222936825803348132e-33,2.705872266550802261e-24,1.284632508533464715e-10,4.790454152863091526e-09
1.799999999999999933e-01,1.187929819100100982e-04,4.085790258437027645e-08,1.492229093512418105e-05,1.605615093151152991e-08,3.516072808258802162e-06,1.002589917097406825e-04,2.673983436636763206e-15,1.611945940837590849e-14,1.915856986434813115e-14,4.018692123419146908e-12,3.336333419798926156e-15,1.128179271892985275e-14,5.901457245293486190e-15,1.147055929587407060e-14,3.257082579357683503e-09,3.067746538204159004e-22,1.727048369971000842e-12,3.498949632569919151e-33,7.684299833983710511e-24,6.541106531668286415e-11,3.538409404324474228e-08
1.804999999999999938e-01,1.300052683745079869e-04,4.074462747528912131e-08,1.508310457186436262e-05,1.570194746521274602e-08,3.321259175328439250e-06,1.115017442678938855e-04,4.658399230590954899e-15,1.601380120160330909e-14,1.597505192854532271e-14,3.838253811880951749e-12,3.713159583272183053e-15,1.147898976449050948e-14,6.392388222368667724e-15,1.150678548036562538e-14,3.292199322303208868e-09,3.038150662685499127e-22,1.744770430783268078e-12,3.894074388132424939e-33,8.550600408290141013e-24,6.396867154144451332e-11,3.935196372417595873e-08
1.809999999999999942e-01,1.412002702249586102e-04,4.119206128462372212e-08,1.523493511912240182e-05,1.562042604824017447e-08,3.143854655815131174e-06,1.227179629586798069e-04,1.352150115898335857e-14,1.576727494150898385e-14,1.640356746034842694e-14,3.675015775474740088e-12,4.081200228478849073e-15,1.210114931996849442e-14,8.179857877227242217e-15,1.189225064922007590e-14,3.325344767596118393e-09,3.055463508808881066e-22,1.795895503875244112e-12,4.280009013012257425e-33,9.397149901470572262e-24,6.363748928809433218e-11,4.331046889343765951e-08
1.814999999999999947e-01,1.522195960023936924e-04,4.232451085048254133e-08,1.538417322411531621e-05,1.585414053969591552e-08,2.972294473592474210e-06,1.337543161099759032e-04,3.491320886929452267e-14,1.533468358683473691e-14,2.041204891003449870e-14,3.563374328953309066e-12,4.400988053839604644e-15,1.303193670379440903e-14,1.189761702839677904e-14,1.252126505575328657e-14,3.357911753082894882e-09,3.125309143796646692e-22,1.870279825511150649e-12,4.615372325847397480e-33,1.013317272662301131e-23,6.459072716679477278e-11,4.720549467363394426e-08
1.819999999999999951e-01,1.628980476790930934e-04,4.401665480649394897e-08,1.553553440495704011e-05,1.642397032662015193e-08,2.795846871540325139e-06,1.444517813420112496e-04,7.703606420125050323e-14,1.469809503590700984e-14,2.662852194765949574e-14,3.554137961215439072e-12,4.650015421814997574e-15,1.404488142712861030e-14,1.834173712788606286e-14,1.320313749283701505e-14,3.390930511285447348e-09,3.250672228090142858e-22,1.951266553691070989e-12,4.876562665495481195e-33,1.070684779313029417e-23,6.691314945249714071e-11,5.098091778366682445e-08
1.824999999999999956e-01,1.730676495142674043e-04,4.592385193663711866e-08,1.569013009057704418e-05,1.731341448961468358e-08,2.608490498985585660e-06,1.546477111521542529e-04,1.513151575502354167e-13,1.389025017299042537e-14,3.280167819468415399e-14,3.706908291673432571e-12,4.832147721906720840e-15,1.488032332582877389e-14,2.860113103634239670e-14,1.372885147345697343e-14,3.424648124568242718e-09,3.429512270466840234e-22,2.018384054981564825e-12,5.067627839899031984e-33,1.112695962778315670e-23,7.053711567915880499e-11,5.457933554216332941e-08
