energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.159999999999999976e-01,3.440852090611434821e-02,1.640342542209859340e-06,1.769248078916666103e-06,1.078841094912286052e-07,1.535028024009815240e-07,3.440484992858133112e-02
2.169999999999999984e-01,4.118050342719222628e-02,1.951943256773930298e-06,1.486015108357483695e-06,1.427876252656442072e-07,9.708267874685817864e-08,4.117682559852308549e-02
2.179999999999999993e-01,4.893200782555414546e-02,2.291604421069735431e-06,1.567415202886802734e-06,1.348088922128396646e-07,5.572666361249054235e-07,4.892745673040185123e-02
2.190000000000000002e-01,5.773779453223019248e-02,2.730545524422866712e-06,1.639343179572812547e-06,1.503546296560980389e-07,2.959895514507251882e-07,5.773297829934508768e-02
2.200000000000000011e-01,6.767818376610888753e-02,3.197477218028923669e-06,1.351430997670472518e-06,1.976011546852165934e-07,6.950447273083611037e-08,6.767336775226577561e-02
2.210000000000000020e-01,7.883733568116386980e-02,3.677377333912148583e-06,1.338400824250211830e-06,1.939970913528102388e-07,6.926352405040476861e-07,7.883143327067385076e-02
2.220000000000000029e-01,9.129319468693479489e-02,4.291035520672243645e-06,1.465480904880163120e-06,1.973399445411451046e-07,5.116358844721299633e-07,9.128672919468022728e-02
2.230000000000000038e-01,1.051281211036703134e-01,4.957238745403240191e-06,1.224654556645700423e-06,2.514282606444955740e-07,3.861585704866915383e-08,1.051216491662505664e-01
2.239999999999999769e-01,1.204303528591728067e-01,5.608513698506368254e-06,1.120504005728729263e-06,2.590725068429450483e-07,7.710243519097842569e-07,1.204225937446098127e-01
2.249999999999999778e-01,1.372786259334818904e-01,6.421736623492609204e-06,1.257316517659145267e-06,2.498712747288597967e-07,7.960917854782877881e-07,1.372699009172805296e-01
2.259999999999999787e-01,1.557532894234448240e-01,7.333161129468643286e-06,1.093006416262266322e-06,3.020438135891308283e-07,4.105268827447579568e-08,1.557445201593972428e-01
2.269999999999999796e-01,1.759436440015220982e-01,8.193120064276228774e-06,9.273935255148502596e-07,3.247655769959485475e-07,7.681848931556277475e-07,1.759334305374621599e-01
2.279999999999999805e-01,1.979269104581615479e-01,9.224969028199482684e-06,1.033449980539146807e-06,3.073453896319483179e-07,1.124433399380663925e-06,1.979152202603637889e-01
2.289999999999999813e-01,2.217769213989244093e-01,1.042459552465771469e-05,9.475603446189042898e-07,3.488084237040185362e-07,1.189779871154710527e-07,2.217650814566443085e-01
2.299999999999999822e-01,2.475800645802120892e-01,1.153816950667630080e-05,7.614359501401934757e-07,3.861504001872660362e-07,6.784256392739207973e-07,2.475667003987158110e-01
2.309999999999999831e-01,2.754098978634995087e-01,1.280292491119735964e-05,8.150176037806408524e-07,3.677989049137518723e-07,1.455105324353635504e-06,2.753944570167552452e-01
2.319999999999999840e-01,3.053292605401517479e-01,1.432422039100062592e-05,7.867922097430743031e-07,3.903074272443611068e-07,3.105453522892810865e-07,3.053134486747714482e-01
2.329999999999999849e-01,3.374166148423074496e-01,1.574250180961037760e-05,6.117844421071962640e-07,4.364637961628175047e-07,5.087271627504040162e-07,3.373993153650968191e-01
2.339999999999999858e-01,3.717397636026123497e-01,1.725346957290948237e-05,6.135658500637852222e-07,4.341582204357481253e-07,1.698083166197204748e-06,3.717197643258027262e-01
2.349999999999999867e-01,4.083467109981891441e-01,1.911672451120663532e-05,6.293255787904137556e-07,4.464602338617813133e-07,6.081296557767523464e-07,4.083259103582095317e-01
2.359999999999999876e-01,4.473020939637413207e-01,2.089352726637151920e-05,4.970200897905493938e-07,4.830961965025914956e-07,3.537294792405944621e-07,4.472798665907093962e-01
2.369999999999999885e-01,4.886655090816094948e-01,2.266455745111631260e-05,4.475322866389167059e-07,4.797796133194725558e-07,1.921295069925239855e-06,4.886399959171884855e-01
2.379999999999999893e-01,5.324673161349813277e-01,2.487042195119772083e-05,4.607805209106078069e-07,4.829057733856527710e-07,1.066689092551819009e-06,5.324404353376432919e-01
2.389999999999999902e-01,5.787521174579496330e-01,2.705705704588352189e-05,3.782783349872024093e-07,5.196281803131313687e-07,2.013911137860324066e-07,5.787239611032746200e-01
2.399999999999999911e-01,6.275683550943457201e-01,2.911140820852688984e-05,3.148483931908936291e-07,5.250278477774786868e-07,1.973437109616400556e-06,6.275364303727866133e-01
2.409999999999999920e-01,6.789272185841619400e-01,3.164188052925767951e-05,3.136253610455266877e-07,5.195846661322232555e-07,1.613831726335197625e-06,6.788931296618792022e-01
