energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.149999999999999967e-01,2.845133254925073063e-11,1.327328107490245689e-11,1.882214584474045365e-15,8.490371797265755368e-17,4.452044048268258517e-17,1.517603983560534436e-11
2.159999999999999976e-01,2.927248627859983275e-11,1.371559281964811250e-11,1.656462961575448274e-15,1.037192197541977134e-16,5.401651447288790044e-17,1.555507926025591875e-11
2.169999999999999984e-01,2.994242786207736004e-11,1.415852096721126684e-11,1.339687393259657234e-15,8.737013327309867898e-17,4.552092408475212496e-17,1.578243431641547265e-11
2.179999999999999993e-01,3.029119599694841291e-11,1.442263039154603172e-11,9.561549456255981175e-16,4.718604662106747337e-17,2.482756658762790859e-17,1.586753743684354473e-11
2.190000000000000002e-01,3.030211889178749229e-11,1.444961200368473077e-11,5.928804802287487521e-16,1.029838717123822392e-17,5.676195648532863939e-18,1.585189803303971250e-11
2.200000000000000011e-01,3.013986831186846853e-11,1.434365093000152244e-11,3.391590424107626224e-16,9.513120046079141295e-19,3.462946909717212150e-19,1.579587692521784272e-11
2.210000000000000020e-01,3.006534927796637036e-11,1.430483882569994585e-11,2.304973440320532559e-16,2.422106254211181285e-17,1.148002402932038020e-17,1.576024425383582020e-11
2.220000000000000029e-01,3.028513862268757172e-11,1.449666722513851668e-11,2.304269781794394202e-16,6.314360701225083275e-17,3.064251047992122695e-17,1.578814718445338387e-11
2.230000000000000038e-01,3.082995587593204481e-11,1.493494637526037794e-11,2.586003977174819789e-16,9.079270228427000973e-17,4.437682905368161709e-17,1.589461573074261490e-11
2.239999999999999769e-01,3.154196763406468074e-11,1.547341006864531827e-11,2.442382585627415973e-16,8.864697796727798320e-17,4.340207174704719568e-17,1.606818127811108468e-11
2.249999999999999778e-01,3.218151682523956387e-11,1.589826855328619010e-11,1.690008582164471013e-16,5.865120622690047019e-17,2.864692246325038498e-17,1.628299197296646714e-11
2.259999999999999787e-01,3.258490542510623710e-11,1.607090933793704000e-11,7.198002344922046034e-17,2.114104125090274703e-17,1.021027941385020642e-17,1.651389275582507978e-11
2.269999999999999796e-01,3.276953658871617500e-11,1.602370436281032739e-11,1.564941162972771275e-17,6.329152079851618646e-19,2.643047793045171362e-19,1.674581567927422898e-11
2.279999999999999805e-01,3.291647674336662991e-11,1.594275751332788702e-11,3.771018793290452146e-17,9.485532799985973950e-18,4.909383933754947459e-18,1.697366712493407462e-11
2.289999999999999813e-01,3.324219511948138000e-11,1.604591967418935630e-11,1.224278882519780688e-16,4.033652324926118793e-17,2.042264899769231397e-17,1.719609225823152689e-11
2.299999999999999822e-01,3.384627020812990935e-11,1.643559224154669269e-11,2.107332619466568006e-16,7.182482239082862326e-17,3.613566206455362910e-17,1.741035927283681539e-11
2.309999999999999831e-01,3.463890234757633889e-11,1.702539826225554303e-11,2.411576136475315968e-16,8.312887944505936462e-17,4.169301331721356995e-17,1.761313810581438493e-11
2.319999999999999840e-01,3.539857319106702344e-11,1.759275567819420578e-11,1.924368540725445182e-16,6.737753213431151980e-17,3.372498903307372340e-17,1.780552397349758123e-11
2.329999999999999849e-01,3.592174245431631222e-11,1.792549305224082656e-11,9.793149265682076378e-17,3.535786876737764266e-17,1.766676266466387605e-17,1.799609844595139432e-11
2.339999999999999858e-01,3.616310638057883089e-11,1.796573569867136788e-11,2.208059607049412797e-17,7.752621785145688154e-18,3.861608987933730507e-18,1.819733698708061818e-11
