energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.459999999999999964e-01,1.076776163257128945e-02,1.072558838478074664e-02,1.168019863280758208e-06,1.153251672847580279e-05,1.794019447047423367e-05,1.153251672831327410e-05
2.469999999999999973e-01,9.608110824237084402e-03,9.566172729607660269e-03,1.266130188223055184e-06,1.145134594796225216e-05,1.776927254535841532e-05,1.145134594788021194e-05
2.479999999999999982e-01,8.263737417162613647e-03,8.222048814183067350e-03,1.428181185656899440e-06,1.135257911668662481e-05,1.755526356053363778e-05,1.135257911666970787e-05
2.489999999999999991e-01,6.883851580212179376e-03,6.842428266673666014e-03,1.652039324869115888e-06,1.123672971588847216e-05,1.729781478183522271e-05,1.123672971591977850e-05
2.500000000000000000e-01,5.678030200928259850e-03,5.636887138399540240e-03,1.935433123758408009e-06,1.110436302009031409e-05,1.699890336472008041e-05,1.110436302015204585e-05
2.510000000000000009e-01,4.924006005602729087e-03,4.883154902621420976e-03,2.275975443151990602e-06,1.095609165390062654e-05,1.666294423028050247e-05,1.095609165397470465e-05
2.520000000000000018e-01,4.974841575997143023e-03,4.934288623747443668e-03,2.671181695946745800e-06,1.079257034315799738e-05,1.629662986736796719e-05,1.079257034322656131e-05
2.530000000000000027e-01,6.265194552337223673e-03,6.224938592463938325e-03,3.118482765361719419e-06,1.061449034256635554e-05,1.590849642274515285e-05,1.061449034261237654e-05
2.540000000000000036e-01,9.316373294532841881e-03,9.276404673000959028e-03,3.615232334332847000e-06,1.042257402680210417e-05,1.550824114393958218e-05,1.042257402680989179e-05
2.550000000000000044e-01,1.473988389406258662e-02,1.470018419824492550e-02,4.158709249704421904e-06,1.021757006175562363e-05,1.510584644448805338e-05,1.021757006171129331e-05
2.560000000000000053e-01,2.323918039768600036e-02,2.319972319036369204e-02,4.746116335836409285e-06,1.000024944292174801e-05,1.471059210073918274e-05,1.000024944281362933e-05
2.570000000000000062e-01,3.560935086192088678e-02,3.557010342315647389e-02,5.374577613818531313e-06,9.771402522687224715e-06,1.433005610540111726e-05,9.771402522506169729e-06
2.580000000000000071e-01,5.273450254108882906e-02,5.269542851720380311e-02,6.041136098833011094e-06,9.531836975033849903e-06,1.396921383639134597e-05,9.531836974773605806e-06
2.590000000000000080e-01,7.558264993117529140e-02,7.554371268124003558e-02,6.742754216134133587e-06,9.282376492110562484e-06,1.362974273523171416e-05,9.282376491767846177e-06
2.600000000000000089e-01,1.051979590176978230e-01,1.051591253543663756e-01,7.476318426586626672e-06,9.023859894945274057e-06,1.330962511540691310e-05,9.023859894519939851e-06
2.610000000000000098e-01,1.426902590426551987e-01,1.426515029972561799e-01,8.238648963938307565e-06,8.757140285349532274e-06,1.300311586490082803e-05,8.757140284844532925e-06
2.620000000000000107e-01,1.892217982266669873e-01,1.891831044373266657e-01,9.026514769913332329e-06,8.483083873468578187e-06,1.270110682404969671e-05,8.483083872889956429e-06
2.630000000000000115e-01,2.459912906781719644e-01,2.459526570100839804e-01,9.836652897249944925e-06,8.202568181395780930e-06,1.239187882857394334e-05,8.202568180752447548e-06
2.640000000000000124e-01,3.142153764585581266e-01,3.141768155187500966e-01,1.066579095821719030e-05,7.916479435074728186e-06,1.206218998034003881e-05,7.916479434378272286e-06
2.650000000000000133e-01,3.951076935124624434e-01,3.950692328142999532e-01,1.151067072768900961e-05,7.625709095402566129e-06,1.169860924473339349e-05,7.625709094666840934e-06
2.660000000000000142e-01,4.898558368290527598e-01,4.898175174864767278e-01,1.236807082956594778e-05,7.331149622905754992e-06,1.128897250140409054e-05,7.331149622146493293e-06
2.670000000000000151e-01,5.995965545980145306e-01,5.995584285744266495e-01,1.323482656229686420e-05,7.033689696778136971e-06,1.082381763272187455e-05,7.033689696012487796e-06
