energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2,n5_l2_m-2,n5_l2_m+2,n5_l4_m-4,n5_l4_m-2,n5_l4_m+2,n5_l4_m+4
1.699999999999999845e-01,2.786695029630051657e-05,5.314132866682593121e-08,1.000969715173634226e-05,7.205981199115086583e-08,8.893916115160478648e-06,8.797046090141044452e-06,3.377521196278914993e-15,2.133696011569232753e-09,2.582003728442719811e-14,1.808834068788623682e-14,2.184762532047372634e-09,1.065739284667480267e-14,2.723143643539599599e-15,6.612384457025369966e-15,2.116030935755188694e-16,9.072004180561739916e-10,1.583910718620777872e-19,2.543190656204933970e-11,3.583864024586156194e-08,7.477492177778804862e-24,2.785687419010840221e-34
1.749999999999999889e-01,3.267449190094078948e-05,3.945159875844619083e-08,1.274489603146174079e-05,3.101617455821444593e-08,5.995701367050264229e-06,1.379964485660666200e-05,6.511833150945837297e-15,3.347060056988651542e-09,2.120556895993739102e-14,1.941929010676497691e-14,2.781759654154142819e-09,1.124275844412934761e-14,7.993858281584937134e-15,9.024930585136848824e-15,1.073239188424787763e-15,1.423096192088573105e-09,2.485004334410961856e-19,1.094651953588220539e-11,5.621893361096535174e-08,1.345670896996980478e-23,1.215763661529643060e-33
1.799999999999999933e-01,1.208781289712297364e-04,4.085791344324534306e-08,1.492229176123355443e-05,1.579226626464444831e-08,3.516072808322562991e-06,1.019293632727567714e-04,4.487492233003663891e-15,2.472254888427658950e-08,1.915856996797287442e-14,8.461806936603538284e-14,3.257008142093275347e-09,1.173817083316290806e-14,1.972094986635162356e-14,1.090131850425118767e-14,3.275869278776103064e-15,1.051150588772368821e-08,1.835598199631454001e-18,5.573605903257435407e-12,4.152541587867078543e-07,8.870914348058737110e-23,4.104654477890382175e-33
1.804999999999999938e-01,1.323242815286451929e-04,4.074463983920806943e-08,1.508310528369572688e-05,1.544359354938193842e-08,3.321259175375674889e-06,1.133594264556226565e-04,6.451868818092953879e-15,2.749486401106322838e-08,1.597504961289790104e-14,9.801972538197882030e-14,3.292108053628262235e-09,1.180124270910439788e-14,2.126452244834349368e-14,1.107803581599465856e-14,3.587216960120193703e-15,1.169023415671351712e-08,2.041438249656555831e-18,5.450550955026323589e-12,4.618195556105048888e-07,9.852736256069319241e-23,4.504525096304475436e-33
1.809999999999999942e-01,1.437525920923199180e-04,4.119207553491840231e-08,1.523493573694603295e-05,1.536318826621744959e-08,3.143854655844525759e-06,1.247625137066477453e-04,1.527868333147767630e-14,3.026063537937255243e-08,1.640356181344379351e-14,1.057601355828885937e-13,3.325247273734557416e-09,1.224198837511291070e-14,2.431483353730391962e-14,1.164916135714315197e-14,3.879856600948420369e-15,1.286618064906535841e-08,2.246792288241402666e-18,5.422174741846801420e-12,5.082750540730743802e-07,1.082798800813462241e-22,4.884797422547030837e-33
1.814999999999999947e-01,1.550014790145673937e-04,4.232452716065202244e-08,1.538417380798522339e-05,1.559298428444965897e-08,2.972294473605466001e-06,1.359827387716585267e-04,3.662666798906743348e-14,3.298205327672701795e-08,2.041203986972143614e-14,1.044424370810136082e-13,3.357820662914453362e-09,1.295330101088544735e-14,2.927959622699818331e-14,1.249812938940841696e-14,4.130803778979274830e-15,1.402326963897299091e-08,2.448852995596671595e-18,5.503276876225025574e-12,5.539855826721836557e-07,1.177900875383060719e-22,5.220766950262347863e-33
1.819999999999999951e-01,1.659024361145328857e-04,4.401667305773038549e-08,1.553553505024916876e-05,1.615358736153257219e-08,2.795846871540783808e-06,1.468584298748400793e-04,7.870657051200180122e-14,3.561990495027439828e-08,2.662851038072173437e-14,9.167325741457055385e-14,3.390857461435698791e-09,1.373305308474081858e-14,3.667386021607788994e-14,1.340972759913949782e-14,4.339727731173007402e-15,1.514482870240270916e-08,2.644708948355868559e-18,5.701129701227813699e-12,5.982925000723747918e-07,1.269290030584328280e-22,5.511370528995974986e-33
1.824999999999999956e-01,1.762841047797891422e-04,4.592387173561970936e-08,1.569013091347821928e-05,1.702879741949350516e-08,2.608490498978971603e-06,1.572242297143115080e-04,1.529479527657941426e-13,3.813408394632905053e-08,3.280166568745395890e-14,6.779901874313196281e-14,3.424600262813785406e-09,1.435291824958170497e-14,4.735014479954046075e-14,1.414498002278749655e-14,4.537091013736576493e-15,1.621380528300677996e-08,2.831382464709515734e-18,6.010015776806947631e-12,6.405221504208226289e-07,1.356355625926261997e-22,5.787632171381693516e-33
1.829999999999999960e-01,1.859765752051168776e-04,4.759809855142052514e-08,1.584484931594380960e-05,1.816128748853838389e-08,2.410783952296324823e-06,1.669140221697292361e-04,2.747291226094163051e-13,4.048429993628132790e-08,3.661463720926192696e-14,3.847068779659608566e-14,3.458369813408013181e-09,1.463804696273708173e-14,6.275783617218997144e-14,1.452641985518819136e-14,4.781958976481249932e-15,1.721306852966309416e-08,3.005882340943996364e-18,6.409702859790950049e-12,6.799977866036326995e-07,1.439138242261487034e-22,6.110302391534404492e-33
1.834999999999999964e-01,1.948154414125244632e-04,4.864585485306466631e-08,1.599331769697621020e-05,1.946375782919850981e-08,2.209164551348539031e-06,1.757645402646625360e-04,4.641436096506246609e-13,4.263095376349144552e-08,3.655158190200970389e-14,1.820278485936020013e-14,3.490775211296267892e-09,1.452885815486822899e-14,8.516833111340386283e-14,1.450261777134097063e-14,5.148737633642772457e-15,1.812578140131435636e-08,3.165268862265226585e-18,6.869380497783769724e-12,7.160542688486290023e-07,1.518052783502603723e-22,6.555936684718083158e-33
