energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.230000000000000038e-01,1.050591579581072327e-01,1.657610029030913694e-05,5.775355747514349632e-07,1.606589804605327032e-07,1.918947547965045134e-06,1.050399247157137450e-01
2.239999999999999769e-01,1.203496526006248707e-01,1.901647408287115789e-05,6.336429787696444217e-07,1.815874376737521552e-07,1.490672797321978692e-06,1.203283302233282281e-01
2.249999999999999778e-01,1.371871917482351266e-01,2.175797766065024321e-05,6.741967517806058792e-07,1.839687468305476508e-07,3.349009645024883054e-06,1.371612265954308407e-01
2.259999999999999787e-01,1.556530030546339760e-01,2.471108771668297828e-05,6.114596556516139395e-07,1.813025852873962895e-07,5.723894926844203824e-06,1.556217753097495216e-01
2.269999999999999796e-01,1.758278989423942840e-01,2.782179701278490215e-05,4.834182395800840435e-07,1.936778288510379113e-07,5.995793092037441586e-06,1.757934042562210308e-01
2.279999999999999805e-01,1.977932478762237656e-01,3.116743284807562786e-05,3.973544919451627003e-07,2.251929069341027197e-07,3.808204220887393937e-06,1.977576496917559101e-01
2.289999999999999813e-01,2.216299166467188275e-01,3.489924137771935884e-05,4.016510369572496678e-07,2.590429312375640088e-07,1.749356998614201595e-06,2.215926073543743047e-01
2.299999999999999822e-01,2.474159211009364923e-01,3.907679906635202327e-05,4.396859314998261467e-07,2.761032107163203994e-07,2.511807109367995673e-06,2.473736167056185542e-01
2.309999999999999831e-01,2.752251165416422229e-01,4.358970730395671559e-05,4.274531704104341465e-07,2.758633386838924645e-07,5.640779763994669755e-06,2.751751827380651827e-01
2.319999999999999840e-01,3.051280300913662424e-01,4.828370450616393552e-05,3.504827509190917032e-07,2.761261548817517655e-07,7.784941951465210847e-06,3.050713348360027943e-01
2.329999999999999849e-01,3.371933305628737054e-01,5.316411691610355627e-05,2.684450592545828147e-07,2.925451930005139260e-07,6.470431328115923292e-06,3.371331350243772507e-01
2.339999999999999858e-01,3.714876238164770417e-01,5.842897990069830698e-05,2.369781918886159627e-07,3.217513621060615447e-07,3.151500344274011135e-06,3.714254846066780691e-01
2.349999999999999867e-01,4.080732783205929803e-01,6.426253294406695897e-05,2.480677701830862586e-07,3.465909750731011387e-07,1.798117160102396733e-06,4.080066230117435633e-01
2.359999999999999876e-01,4.470063947973854090e-01,7.061404492327051923e-05,2.519555881745566795e-07,3.561360318682885113e-07,4.348188699023306872e-06,4.469308244721430512e-01
