energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.329999999999999849e-01,3.413671903691377872e-03,5.613517887187230810e-07,4.906771469327275027e-07,6.072495722230192460e-07,1.122517884151855560e-06,3.410890107299351451e-03
2.339999999999999858e-01,4.418378496309883531e-03,7.234251964184080748e-07,4.425252995454539865e-07,6.274359544002681716e-07,1.150264975128569568e-06,4.415434844884390947e-03
2.349999999999999867e-01,5.518250615565245196e-03,8.928059141169297352e-07,3.950062587435540751e-07,6.472750845800947138e-07,1.135886249325396588e-06,5.515179642058479562e-03
2.359999999999999876e-01,6.680216043859930550e-03,1.068160504098144946e-06,3.501445815861646717e-07,6.660497143979068361e-07,1.115987281579157414e-06,6.677015701778268864e-03
2.369999999999999885e-01,7.862321326375137226e-03,1.253517083603760609e-06,3.094539256189715550e-07,6.830667785528947741e-07,1.139292080909997890e-06,7.858935996506451194e-03
2.379999999999999893e-01,9.014709365413953526e-03,1.444071286403044421e-06,2.721861545312702106e-07,6.985349415918190340e-07,1.197925537032261993e-06,9.011096647494394596e-03
2.389999999999999902e-01,1.008150592171567703e-02,1.620311139101092572e-06,2.366613772405118506e-07,7.132654446719509432e-07,1.230687483380189619e-06,1.007770499627128405e-02
2.399999999999999911e-01,1.100343278660775338e-02,1.761475267624515438e-06,2.025295435230993688e-07,7.275701122864857387e-07,1.203181282214663186e-06,1.099953803040210412e-02
2.409999999999999920e-01,1.172096756635039767e-02,1.862412395826645623e-06,1.709567541880408059e-07,7.408021852270155778e-07,1.158242849779514984e-06,1.171703515216537643e-02
2.419999999999999929e-01,1.217822115170599621e-02,1.930284415898517170e-06,1.429433057590471678e-07,7.521242406245900409e-07,1.162018825247381529e-06,1.217423378091846663e-02
2.429999999999999938e-01,1.232788761495927192e-02,1.964053701552567071e-06,1.182853189372355956e-07,7.614976611538014054e-07,1.214127317493796109e-06,1.232382965096013444e-02
2.439999999999999947e-01,1.213729580600953102e-02,1.945586744945492310e-06,9.625510666215659609e-08,7.696642429420955675e-07,1.246336650667889925e-06,1.213323796326431364e-02
2.449999999999999956e-01,1.159513851068904450e-02,1.857673965673086811e-06,7.663323969924581711e-08,7.772160380356246126e-07,1.215362680437600705e-06,1.159121162476519848e-02
2.459999999999999964e-01,1.071849113877725024e-02,1.706655159175882341e-06,5.972120593411104283e-08,7.839318211111016529e-07,1.162005986483512199e-06,1.071477882460454556e-02
2.469999999999999973e-01,9.560203602180640178e-03,1.518909697241692275e-06,4.572284043565178942e-08,7.891076145820983827e-07,1.152793128566382827e-06,9.556697068899814088e-03
2.479999999999999982e-01,8.216939825548944670e-03,1.316626830838218451e-06,3.453972156595496075e-08,7.923708710533750702e-07,1.186383949381956688e-06,8.213609904176105703e-03
2.489999999999999991e-01,6.837687964774209586e-03,1.109174484145302241e-06,2.605097663768546061e-08,7.940091006448591183e-07,1.198940448250017707e-06,6.834559789764532017e-03
2.500000000000000000e-01,5.632049990708191782e-03,9.153200925368202422e-07,2.025423864811218331e-08,7.945442281996922565e-07,1.160080040447159633e-06,5.629159792108359706e-03
2.510000000000000009e-01,4.877772758204513767e-03,7.859751733274580811e-07,1.713537508738261347e-08,7.941385133721288857e-07,1.116988899102676197e-06,4.875058520243624044e-03
2.520000000000000018e-01,4.927585486263237960e-03,7.943288723245311223e-07,1.663402800804734661e-08,7.924835370743568193e-07,1.119193609377232285e-06,4.924862846216454017e-03
2.530000000000000027e-01,6.215536496074871957e-03,1.008389308695470083e-06,1.873760740456906051e-08,7.892181384234066151e-07,1.137515329331004946e-06,6.212582635691017534e-03
2.540000000000000036e-01,9.262405310985348181e-03,1.490190999912085504e-06,2.340086819189426849e-08,7.843879037818261420e-07,1.106884563131793620e-06,9.259000446650331173e-03
2.550000000000000044e-01,1.467928651025853827e-02,2.327939657065167696e-06,3.038176150630967623e-08,7.784646471422908608e-07,1.035738959456861690e-06,1.467511398523336716e-02
2.560000000000000053e-01,2.316888944118539878e-02,3.653734086185898361e-06,3.941438724820785691e-08,7.718919997223175736e-07,1.008815541351423727e-06,2.316341558517089061e-02
2.570000000000000062e-01,3.552490950219848453e-02,5.614111549040724951e-06,5.059817690728031369e-08,7.646035863211677248e-07,1.058275878189500594e-06,3.551742191300802376e-02
2.580000000000000071e-01,5.262977891029806121e-02,8.331713748551908559e-06,6.431565984392887474e-08,7.560446265968026175e-07,1.091058320584001289e-06,5.261953577794248327e-02
2.590000000000000080e-01,7.545015776464798762e-02,1.191957498448842469e-05,8.057659448193096638e-08,7.457577317782931566e-07,1.007310256929467478e-06,7.543640454508031279e-02
2.600000000000000089e-01,1.050290927981533673e-01,1.653763171768699499e-05,9.870934981293919225e-08,7.339529698312984114e-07,8.633912035924095762e-07,1.050108591129124413e-01
2.610000000000000098e-01,1.424747361875208507e-01,2.240913588043061717e-05,1.180366458732298328e-07,7.213926467609986390e-07,8.276451283288920259e-07,1.424506599772194515e-01
2.620000000000000107e-01,1.889467342851993414e-01,2.975722080974202530e-05,1.387172761627058501e-07,7.086314634671073035e-07,9.478844036598221741e-07,1.889151818312463094e-01
2.630000000000000115e-01,2.456410951506648177e-01,3.873714499925344067e-05,1.614866088286069924e-07,6.954352211630515271e-07,1.047402152413279332e-06,2.456004536816831507e-01
2.640000000000000124e-01,3.137727673123421046e-01,4.946410148438063154e-05,1.865118610258809013e-07,6.810732357253095802e-07,9.373151744022760589e-07,3.137214983105865440e-01
2.650000000000000133e-01,3.945545825028111686e-01,6.211296738399137130e-05,2.129487441303685426e-07,6.651808367701722708e-07,6.931418340660600008e-07,3.944908982640122352e-01
2.660000000000000142e-01,4.891728395149078645e-01,7.695209828913174809e-05,2.399091140944290306e-07,6.481970803357771909e-07,5.985355993966006598e-07,4.890944007748249112e-01
2.670000000000000151e-01,5.987617410023268194e-01,9.424188886424293243e-05,2.675389762694406677e-07,6.308855035271880116e-07,7.765314833811852200e-07,5.986658241574993600e-01
2.680000000000000160e-01,7.243784219666012936e-01,1.141134002935470987e-04,2.966853802624540204e-07,6.135446510216154441e-07,9.871912904137595095e-07,7.242624111449860180e-01
2.690000000000000169e-01,8.669777850594982960e-01,1.365926248607471794e-04,3.276055817821704109e-07,5.958403646002503917e-07,9.078721447259201377e-07,8.668393611165464696e-01
2.700000000000000178e-01,1.027385207076732643e+00,1.617554645618376737e-04,3.595138071837553412e-07,5.773687408926144072e-07,5.711734823723348024e-07,1.027221943556140271e+00
2.710000000000000187e-01,1.206267378422580361e+00,1.898097660331085667e-04,3.915337178252695438e-07,5.581802795530815373e-07,3.674262982709189550e-07,1.206076251516251530e+00
2.720000000000000195e-01,1.404104518007805780e+00,2.209723198072208238e-04,4.236474031457546381e-07,5.386582859160863619e-07,5.529149686688125710e-07,1.403882030467340725e+00
2.730000000000000204e-01,1.621166888119778937e+00,2.552769379772861467e-04,4.563668627804103667e-07,5.190317048292455169e-07,8.860001007911253960e-07,1.620909749783133291e+00
2.740000000000000213e-01,1.857494935891012666e+00,2.925640542832054665e-04,4.897791780348763881e-07,4.992032690653459679e-07,9.043193420166615973e-07,1.857200478534940302e+00
2.750000000000000222e-01,2.112880137557535232e+00,3.326835434529619526e-04,5.234138864652902470e-07,4.790423425197871205e-07,5.269790748192493142e-07,2.112545924578778322e+00
2.760000000000000231e-01,2.386846003285238549e+00,3.756545616812554940e-04,5.569721214690976541e-07,4.586548754160627390e-07,1.935381386200361046e-07,2.386469139558421659e+00
2.770000000000000240e-01,2.678632903762858675e+00,4.215582160541723198e-04,5.906318792583349132e-07,4.382617523558857740e-07,3.161509609678489858e-07,2.678210000502212029e+00
2.780000000000000249e-01,2.987190752431195584e+00,4.702793944338942798e-04,6.244415126954085744e-07,4.179243384298603658e-07,7.322748127183644774e-07,2.986718698396098048e+00
2.790000000000000258e-01,3.311179156536642854e+00,5.214283291984920295e-04,6.578850607181895981e-07,3.975462603962331671e-07,8.886205164554718947e-07,3.310655784155606796e+00
2.800000000000000266e-01,3.648970923688272361e+00,5.745595883655163407e-04,6.904782893219586130e-07,3.771298386614582830e-07,5.499076987935151751e-07,3.648394746584080028e+00
2.810000000000000275e-01,3.998656762213419480e+00,6.294197437137897568e-04,7.225260373787600693e-07,3.568810577376715966e-07,1.174508225055764169e-07,3.998026145611788262e+00
2.820000000000000284e-01,4.358054302162054583e+00,6.859006410442266286e-04,7.547150221393549382e-07,3.369948955993215208e-07,1.238979508099424525e-07,4.357367185913141761e+00
